BACK,w0,w0_m,w0_p,wa,wa_m,wa_p,H0,H0_m,H0_p
LambdaCDM,-1,0,0,0,0,0,72.387,0.9,0.87
w0CDM,-0.89,0.1,0.12,None,None,None,72.34,0.88,0.88
JBP,-0.9,0.1,0.12,0.28,0.85,1.4,72.4,0.89,0.89
GE,-0.91,0.09,0.11,-0.092,0.055,0.063,70.5,1.1,3.4
OSCILL,-0.9,0.11,0.11,0.5,1.4,0.86,72.28,0.85,0.85
LambdaCDM,-1,0,0,0,0,0,73.34,0.76,0.78
w0CDM,-0.894,0.04,0.043,None,None,None,72.33,0.87,0.86
JBP,-0.91,0.11,0.1,0.15,0.96,0.85,72.36,0.88,0.87
GE,-0.876,0.042,0.046,-0.12,0.04,0.13,70.73,4.03,2.9
OSCILL,-0.88,0.062,0.055,-0.28,1,0.57,72.37,0.88,0.88
LambdaCDM,-1,0,0,0,0,0,70.505,0.56,0.54
w0CDM,-1.056,0.82,0.81,None,None,None,71.46,0.82,0.81
JBP,-0.84,0.09,0.11,-1.64,0.82,0.64,71.48,0.81,0.8
GE,-1.0327,0.036,0.037,-0.11837,0.072,0.023,68.24,1.83,4.38
OSCILL,-0.915,0.057,0.062,1.79,0.65,0.67,71.84,0.8,0.79
