PR3,w0,w0_m,w0_p,wa,wa_m,wa_p,H0,H0_m,H0_p,Sigma8,Sigma8_m,Sigma8_p
LambdaCDM,-1,0,0,0,0,0,67.31,0.62,0.61,0.8115,0.0076,0.0076
w0CDM,-1.92,0.48,0.29,None,None,None,100.16,10,20,1.07,0.06,0.14
JBP,-1.235,0.266,0.004,-0.99,0.16,2.49,79.03,9.14,4.83,0.911,0.078,0.044
GE,-1.033,0.17,0.05,-0.176,0.11,0.066,70.77,2.58,5.02,0.84298,0.022,0.046
OSCILL,-1.23,0.27,0.08,0.68,0.44,0.37,77.75,4.41,7.94,0.903,0.036,0.064
LambdaCDM,-1,0,0,0,0,0,67.652,0.54,0.51,0.80674,0.0066,0.0065
w0CDM,-1.92,0.26,0.2,None,None,None,72,7,8,0.84,0.06,0.071
JBP,-1.15,0.35,0.11,0.11,0.87,0.47,73.03,7.52,8.64,0.851,0.059,0.079
GE,-0.99,0.12,0.12,-0.077,0.043,0.043,67.62,3.06,5.02,0.80644,0.026,0.046
OSCILL,-1.3,0.39,0.34,0.18,0.96,1.3,78.371,14.85,10.3,0.89,0.27,0.29
LambdaCDM,-1,0,0,0,0,0,68.83,0.5,0.5,0.80369,0.0079,0.0077
w0CDM,-1.053,0.025,0.026,None,None,None,69.8,0.7,0.67,0.823,0.011,0.011
JBP,-0.79,0.021,0.09,-1.84,0.58,0.31,70.24,0.69,0.68,0.833,0.012,0.012
GE,-0.96,0.082,0.034,-0.246,0.056,0.025,70.22,0.68,0.68,0.83001,0.012,0.012
OSCILL,-0.90412,0.023,0.042,1.2316,0.67,0.27,70.737,0.74,0.66,0.83829,0.012,0.011
LambdaCDM,-1,0,0,0,0,0,68.72,0.44,0.44,0.80056,0.0069,0.0064
w0CDM,-1.049,0.024,0.024,None,None,None,69.76,0.66,0.66,0.818,0.01,0.011
JBP,-0.858,0.013,0.058,-1.34,0.42,0.25,70.18,0.68,0.68,0.826,0.011,0.011
GE,-1.004,0.026,0.029,-0.149,0.052,0.024,63.6,4.8,4.8,0.767,0.04,0.052
OSCILL,-0.863,0.05,0.039,1.51,0.2,0.43,70.8,0.71,0.7,0.833,0.01,0.01
LambdaCDM,-1,0,0,0,0,0,68.938,0.39,0.38,0.80399,0.0079,0.0078
w0CDM,-1.049,0.024,0.026,None,None,None,69.86,0.61,0.61,0.823,0.013,0.011
JBP,-0.81,0.04,0.1,-1.6,0.58,0.39,69.8,0.59,0.59,0.83,0.011,0.012
GE,-0.95961,0.03,0.034,-0.24548,0.055,0.011,70.196,0.68,0.66,0.83001,0.012,0.012
OSCILL,-0.997,0.027,0.03,0.38,0.02,0.12,69.87,0.61,0.62,0.827,0.011,0.012
LambdaCDM,-1,0,0,0,0,0,68.749,0.36,0.34,0.79994,0.0062,0.0064
w0CDM,-1.046,0.024,0.024,None,None,None,69.76,0.62,0.63,0.816,0.01,0.01
JBP,-0.878,0.022,0.078,-1.12,0.47,0.29,69.75,0.63,0.6,0.822,0.01,0.01
GE,-1.0003,0.025,0.028,-0.14595,0.054,0.013,64.1,3.9,5.8,0.773,0.032,0.049
OSCILL,-0.90978,0.043,0.042,1.0758,0.33,0.28,69.852,0.59,0.6,0.83107,0.01,0.01
